,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
4171,7486,-2.5997366927979333,-18.64135792156109,-178.46080595523793,4.0,1.0,-1.0,52.011603676334744,-19866166.045494292,-2112756.784924483,-1
4183,7499,-1.5092316130258039,-18.64138964280978,-178.4608093396923,4.0,1.0,-1.0,52.01152680442829,-19866166.42225003,-2112760.511628686,-1
4287,7605,-2.2394632621571877,-18.641801151467266,-178.46085189115527,4.0,1.0,-1.0,52.01053292538927,-19866171.159057215,-2112808.8569211545,-1
4309,7628,-0.9735377556291952,-18.64189634025843,-178.46086183630902,4.0,1.0,-1.0,52.01030391139557,-19866172.26614667,-2112820.040007414,-1
4439,7763,-1.583286425357528,-18.642443497671238,-178.46091835912,4.0,1.0,-1.0,52.0089939711961,-19866178.558237206,-2112884.321946927,-1
4458,7783,-1.9936285611624955,-18.64253962059115,-178.4609283451524,4.0,1.0,-1.0,52.00876498177786,-19866179.66987725,-2112895.6148203867,-1
4467,7793,-0.5689877007166615,-18.64257820650673,-178.46093248852142,4.0,1.0,-1.0,52.008673155805816,-19866180.13111498,-2112900.148037179,-1
4527,7854,-6.657059207015209,-18.642783415387605,-178.4609534003043,4.0,1.0,-1.0,52.0081857236928,-19866182.459004,-2112924.2567566074,-1
4572,7899,-1.977867277878204,-18.642925314227966,-178.46096861127376,4.0,1.0,-1.0,52.00784957729138,-19866184.152281374,-2112940.9275888405,-1
4623,7953,-6.558701270166694,-18.643144078812558,-178.4609910794419,4.0,1.0,-1.0,52.00733279300221,-19866186.65342641,-2112966.628937431,-1
4629,7960,-4.209735442454985,-18.64315712423683,-178.46099263763173,4.0,1.0,-1.0,52.00730203159036,-19866186.82688331,-2112968.1615677066,-1
4694,8027,-4.298535483150545,-18.643395621867413,-178.46101752335602,4.0,1.0,-1.0,52.0067407516226,-19866189.59714946,-2112996.1812742613,-1
4713,8049,-6.28310637605,-18.643524364334773,-178.46103078190006,4.0,1.0,-1.0,52.00643863852565,-19866191.073083837,-2113011.3064981387,-1
4736,8072,-6.612663863754051,-18.64362094766937,-178.46104081778907,4.0,1.0,-1.0,52.006212391662295,-19866192.19027389,-2113022.6535350373,-1
4839,8178,-3.81187500621104,-18.644025846541773,-178.46108306068902,4.0,1.0,-1.0,52.00526764744154,-19866196.892732,-2113070.2229138385,-1
4865,8206,-5.858796570475307,-18.64414742857914,-178.46109547840766,4.0,1.0,-1.0,52.00498513880758,-19866198.275066115,-2113084.5069520287,-1
4878,8220,-4.707386224283027,-18.644205110057296,-178.4611015499001,4.0,1.0,-1.0,52.004851299939226,-19866198.950941563,-2113091.283651034,-1
4888,8230,-0.5149225348041,-18.64425656151572,-178.4611072321129,4.0,1.0,-1.0,52.004732019875526,-19866199.5834826,-2113097.328419136,-1
4893,8236,-1.2602433124038726,-18.644282093023254,-178.46110981695378,4.0,1.0,-1.0,52.00467286624553,-19866199.87122577,-2113100.327985756,-1
4910,8254,-4.303888442302878,-18.644384148420208,-178.46112015136998,4.0,1.0,-1.0,52.004436654759964,-19866201.02164772,-2113112.31795841,-1
4941,8286,-0.71285000644707,-18.644537582734046,-178.46113639770093,4.0,1.0,-1.0,52.00408224533111,-19866202.83018101,-2113130.344193828,-1
4943,8288,-2.358050784991065,-18.644550232534424,-178.46113757691697,4.0,1.0,-1.0,52.00405306488392,-19866202.961450737,-2113131.83035677,-1
4945,8291,-6.721724358074424,-18.644562703473795,-178.46113851105298,4.0,1.0,-1.0,52.00402430279064,-19866203.06543828,-2113133.295506317,-1
4956,8302,-5.011237934121937,-18.644594699269934,-178.46114198550927,4.0,1.0,-1.0,52.00395053610464,-19866203.452212986,-2113137.054536091,-1
4986,8332,-0.695553329082486,-18.64472243176921,-178.4611556661249,4.0,1.0,-1.0,52.00365642241921,-19866204.975132152,-2113152.061210449,-1
4996,8342,-2.3607593479734987,-18.644785999342613,-178.46116216894498,4.0,1.0,-1.0,52.003510276871566,-19866205.699022774,-2113159.5294618076,-1
5092,8442,-4.1553101773145045,-18.645167361467163,-178.46120211158313,4.0,1.0,-1.0,52.00263662273119,-19866210.14541691,-2113204.3339396752,-1
5102,8452,-0.9407330943520265,-18.645199316213585,-178.4612057654762,4.0,1.0,-1.0,52.00256366112171,-19866210.55216643,-2113208.0881600836,-1
5105,8456,-2.881480193149855,-18.64520553880939,-178.46120626342147,4.0,1.0,-1.0,52.00254945756569,-19866210.607597444,-2113208.81922515,-1
5120,8471,-1.7222102406717568,-18.64526275157133,-178.4612124271433,4.0,1.0,-1.0,52.00241893173553,-19866211.293739818,-2113215.5408989834,-1
5121,8472,-1.4436581540649058,-18.645262769841548,-178.46121245227852,4.0,1.0,-1.0,52.002418890071574,-19866211.296537858,-2113215.543045469,-1
5202,8555,-0.7381647174997852,-18.64553575841832,-178.46124150946181,4.0,1.0,-1.0,52.00179774833305,-19866214.531168707,-2113247.6152946437,-1
5312,8670,-0.6657218708048731,-18.64592953659059,-178.461283375239,4.0,1.0,-1.0,52.00090659637589,-19866219.191645704,-2113293.878682682,-1
5323,8681,-3.6677976627834137,-18.645992912149925,-178.46128985446083,4.0,1.0,-1.0,52.000763705000274,-19866219.912909377,-2113301.324428146,-1
5344,8702,-0.5455964173656866,-18.64608851201012,-178.46130025768474,4.0,1.0,-1.0,52.00054843767247,-19866221.07099097,-2113312.5560853695,-1
5359,8718,-1.8717042774071613,-18.646145688385914,-178.46130620880825,4.0,1.0,-1.0,52.000419851158775,-19866221.733467005,-2113319.273519283,-1
5364,8723,-0.7027116304875562,-18.646158492950374,-178.46130766310162,4.0,1.0,-1.0,52.00039107087469,-19866221.895358205,-2113320.777878944,-1
5374,8733,-1.73806160250615,-18.646183883871785,-178.46131026701445,4.0,1.0,-1.0,52.00033401859218,-19866222.185224455,-2113323.7609622283,-1
5432,8794,-1.7730744677025996,-18.646381377298106,-178.4613311286186,4.0,1.0,-1.0,51.99989106883458,-19866224.507527605,-2113346.96373286,-1
