,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
425,-6.601181137580284,-18.637907206103637,-178.52200903532184,4.0,1.0,-1.0,52.12565245630822,-19872979.141204208,-2112351.389030221,-1
430,-7.2888730858646795,-18.637919802814167,-178.52201047042632,4.0,1.0,-1.0,52.1256324575852,-19872979.30095931,-2112352.868898124,-1
445,-1.1603718069751494,-18.638053122241296,-178.5220242663321,4.0,1.0,-1.0,52.125420923704496,-19872980.836712517,-2112368.531338364,-1
449,-6.286837834915332,-18.638097037606403,-178.52202947340896,4.0,1.0,-1.0,52.12535129494245,-19872981.416361663,-2112373.690542505,-1
461,-5.264924419912859,-18.638223744272864,-178.52204285808094,4.0,1.0,-1.0,52.12515053880634,-19872982.90633653,-2112388.5761271967,-1
466,-1.3082090189485598,-18.638255712951644,-178.52204585219036,4.0,1.0,-1.0,52.12509991995876,-19872983.239639267,-2112392.3318309076,-1
500,-9.450113309118137,-18.63840082531595,-178.52206187326695,4.0,1.0,-1.0,52.12487031710543,-19872985.023097355,-2112409.3797462503,-1
510,-3.8151335079475075,-18.638451962341723,-178.522066648735,4.0,1.0,-1.0,52.124789470964515,-19872985.55470003,-2112415.387367958,-1
511,-5.490843382722119,-18.638451835516943,-178.52206679858526,4.0,1.0,-1.0,52.12478967142897,-19872985.571381282,-2112415.3724684734,-1
512,-2.3911214249345676,-18.63846474911008,-178.52206783808364,4.0,1.0,-1.0,52.1247692607526,-19872985.68709771,-2112416.8895687703,-1
521,-5.030432119217494,-18.63849625074046,-178.5220713605793,4.0,1.0,-1.0,52.12471947967606,-19872986.079220135,-2112420.5904085417,-1
524,-0.6309044063171996,-18.638509265193115,-178.5220722796035,4.0,1.0,-1.0,52.12469891708179,-19872986.18152544,-2112422.1193583035,-1
526,-0.9460657674903814,-18.638540948282344,-178.52207558376642,4.0,1.0,-1.0,52.12464886755879,-19872986.549343176,-2112425.8415170014,-1
541,-3.096229489243342,-18.638686689285446,-178.52209075512116,4.0,1.0,-1.0,52.12441880914412,-19872988.23821066,-2112442.963314108,-1
543,-0.5429211381796222,-18.638705920287507,-178.52209247040133,4.0,1.0,-1.0,52.124388472732335,-19872988.429154772,-2112445.2225923375,-1
546,-1.4588573479245497,-18.63873758391015,-178.52209578681277,4.0,1.0,-1.0,52.1243385346188,-19872988.798336007,-2112448.942468387,-1
