,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
3960,-0.6168297175486259,-18.67327817041489,-178.46323335835334,4.0,1.0,-1.0,51.98992009214817,-19866436.262773044,-2116507.2205234924,-1
4038,-0.7861649795777339,-18.67416153209237,-178.463325685138,4.0,1.0,-1.0,51.988428407828906,-19866446.5405437,-2116611.020197428,-1
4169,-1.5302605661379403,-18.67596868555849,-178.46351376321863,4.0,1.0,-1.0,51.985301339974285,-19866467.47729987,-2116823.3719825447,-1
4587,-1.6244068649257315,-18.682032080412387,-178.4641458162214,4.0,1.0,-1.0,51.974069026688085,-19866537.83711829,-2117535.8751762873,-1
4600,-0.6686851629037847,-18.682178783841145,-178.46416113760588,4.0,4.0,-1.0,51.973783128582,-19866539.54268701,-2117553.1144587733,-1
4634,-0.6247165794043212,-18.68261936810336,-178.46420699964904,4.0,4.0,-1.0,51.97292049657881,-19866544.6480263,-2117604.8880933938,-1
4753,-0.9668709856650821,-18.684274026872426,-178.4643784610846,4.0,4.0,-1.0,51.9696270124623,-19866563.735026,-2117799.3304181807,-1
4782,-1.8924741034581984,-18.684695099960315,-178.46442183804513,4.0,1.0,-1.0,51.96877533659335,-19866568.563727155,-2117848.811878151,-1
4822,-1.1766592972105627,-18.685218277806005,-178.46447618912865,4.0,1.0,-1.0,51.967709476765776,-19866574.614062097,-2117910.292121164,-1
4854,-1.042701992997081,-18.685492743045582,-178.46450484361216,4.0,1.0,-1.0,51.96714691799025,-19866577.803864613,-2117942.5454543084,-1
4868,-0.6416282145946752,-18.68572902493645,-178.46452961172875,4.0,4.0,-1.0,51.96666074974928,-19866580.561038736,-2117970.3117756164,-1
4931,-0.5579693146237332,-18.68653456246839,-178.4646143057052,4.0,4.0,-1.0,51.96499027512982,-19866589.989129066,-2118064.973633236,-1
5107,-0.7955040167826155,-18.688780147808064,-178.46484922066836,4.0,4.0,-1.0,51.96022722867565,-19866616.13974315,-2118328.8635025923,-1
5252,-17.23958403756137,-18.690786797641916,-178.46505547431673,4.0,0.0,-1.0,51.95583861258183,-19866639.099794257,-2118564.6778357034,-1
5267,-15.428716499907523,-18.690964707831764,-178.46507395847178,4.0,0.0,-1.0,51.955443487303455,-19866641.157440986,-2118585.585341652,-1
5269,-15.203618042497737,-18.69098377008862,-178.46507594325135,4.0,0.0,-1.0,51.95540109320336,-19866641.378385637,-2118587.8254858563,-1
5273,-16.33738556470439,-18.691015540595316,-178.46507912217322,4.0,0.0,-1.0,51.95533041114231,-19866641.7322616,-2118591.5590693234,-1
5285,-15.294632621435085,-18.69112357826946,-178.46509036201982,4.0,0.0,-1.0,51.955089817878616,-19866642.983475603,-2118604.2553679547,-1
5294,-14.876748501863176,-18.691199855502187,-178.46509827862704,4.0,0.0,-1.0,51.95491973506887,-19866643.864748288,-2118613.2192692976,-1
5306,-2.8309323207774924,-18.69140972009807,-178.46512103991887,4.0,1.0,-1.0,51.95445084786934,-19866646.398523703,-2118637.882029794,-1
5364,-2.349080819740493,-18.692085624818983,-178.46519152288568,4.0,1.0,-1.0,51.952931429087585,-19866654.244651675,-2118717.312863634,-1
5367,-1.631110160298249,-18.692117598716187,-178.46519493436605,4.0,1.0,-1.0,51.95285920136121,-19866654.624415934,-2118721.0703734513,-1
5370,-1.7609566384837763,-18.692136786429906,-178.46519693404156,4.0,1.0,-1.0,51.9528158418716,-19866654.847018793,-2118723.3252763506,-1
5377,-1.8117961298355567,-18.692219968099696,-178.46520565269753,4.0,1.0,-1.0,51.952627739764466,-19866655.817575138,-2118733.1006278023,-1
5382,-1.5191232463955657,-18.692264779090074,-178.46521038075306,4.0,1.0,-1.0,51.952526317866614,-19866656.343899872,-2118738.3667320604,-1
5384,-0.8414664873007496,-18.69229039315696,-178.46521312833457,4.0,4.0,-1.0,51.95246831688928,-19866656.649759244,-2118741.376850194,-1
5399,-0.8598255366102876,-18.692354449030372,-178.4652198553874,4.0,4.0,-1.0,51.95232317845239,-19866657.39861134,-2118748.9045808758,-1
5408,-0.6510197559455264,-18.692424943538605,-178.46522728339764,4.0,4.0,-1.0,51.95216330415133,-19866658.22549366,-2118757.188971596,-1
5419,-0.6491626392007674,-18.69252089459008,-178.46523735792914,4.0,4.0,-1.0,51.9519454492729,-19866659.346985377,-2118768.464976084,0
5422,-1.2300175615553144,-18.692540183484937,-178.46523934187897,4.0,4.0,-1.0,51.95190161975279,-19866659.56783766,-2118770.7317749946,0
5429,-0.8298610874123824,-18.69258519773228,-178.4652441239503,4.0,4.0,-1.0,51.95179929045935,-19866660.100175407,-2118776.021775639,0
5431,-0.616234225492235,-18.692585197935784,-178.4652441423554,4.0,4.0,-1.0,51.951799289995506,-19866660.102224253,-2118776.0217995537,0
5435,-0.5299271675235104,-18.69260449265358,-178.46524618519325,4.0,4.0,-1.0,51.951755408748795,-19866660.32963192,-2118778.289283628,0
5437,-0.6164793055347673,-18.692610924286523,-178.46524685626997,4.0,4.0,-1.0,51.95174077896172,-19866660.40433584,-2118779.045118799,0
5442,-0.7990340026190097,-18.692630221363217,-178.46524887649983,4.0,4.0,-1.0,51.95169687694579,-19866660.6292268,-2118781.312880433,0
5445,-0.8371265941577803,-18.69264308629699,-178.46525023064206,4.0,4.0,-1.0,51.95166760202483,-19866660.779969223,-2118782.824747046,0
5446,-0.8175404954163241,-18.69264951887148,-178.46525091107785,4.0,4.0,-1.0,51.95165296239429,-19866660.855714988,-2118783.58069304,0
5449,-0.8133643300800486,-18.692662382660977,-178.46525226884933,4.0,4.0,-1.0,51.95162368237561,-19866661.00686142,-2118785.092425352,0
5450,-0.7430575520120328,-18.692662382727836,-178.46525227490642,4.0,4.0,-1.0,51.951623682223726,-19866661.007535692,-2118785.0924332086,0
5451,-0.8426816928122207,-18.692668815767956,-178.46525294518582,4.0,4.0,-1.0,51.95160903768192,-19866661.082150854,-2118785.8484340096,0
5452,-0.8556483086365461,-18.692675248751957,-178.46525362293266,4.0,4.0,-1.0,51.951594391984145,-19866661.15759729,-2118786.6044282466,0
5453,-0.7030184560933321,-18.69267524889706,-178.46525363608234,4.0,4.0,-1.0,51.95159439165309,-19866661.1590611,-2118786.6044452977,0
5456,-0.9574558652457199,-18.692688115166924,-178.465254971989,4.0,4.0,-1.0,51.95156509571825,-19866661.30777355,-2118788.116469328,0
5460,-0.71996943581712,-18.69270741666952,-178.46525702945024,4.0,4.0,-1.0,51.9515211374046,-19866661.536809087,-2118790.3847521194,0
5462,-0.7074586356375221,-18.69271385015853,-178.4652577095229,4.0,4.0,-1.0,51.95150648285198,-19866661.61251443,-2118791.140805874,0
5465,-0.5679646422788664,-18.692726717656413,-178.4652590796056,4.0,4.0,-1.0,51.95147716870906,-19866661.765031338,-2118792.652974563,0
5468,-0.6675806377047593,-18.692739585355636,-178.46526042916963,4.0,4.0,-1.0,51.95144784897093,-19866661.91526412,-2118794.165167031,0
5471,-0.8427505236115849,-18.692752452884477,-178.4652617722448,4.0,4.0,-1.0,51.951418524483415,-19866662.06477456,-2118795.6773395874,0
5472,-0.6483477654412582,-18.692765320857266,-178.46526314719432,4.0,4.0,-1.0,51.95138919384681,-19866662.217833243,-2118797.1895644334,0
5473,-2.1539668160789915,-18.692765319941323,-178.46526301753013,4.0,1.0,-1.0,51.9513891959341,-19866662.203399092,-2118797.1894567925,-1
5476,-0.68943249781546,-18.692771755331734,-178.46526382282792,4.0,4.0,-1.0,51.95137452548897,-19866662.293044433,-2118797.945734256,0
5478,-0.6951635698060272,-18.69277818912618,-178.46526450143597,4.0,4.0,-1.0,51.95135985739762,-19866662.368586734,-2118798.7018241934,0
5481,-0.7953779432973533,-18.69279749088374,-178.46526653017062,4.0,4.0,-1.0,51.95131584456249,-19866662.59442444,-2118800.9701381535,0
5483,-1.0127397538296918,-18.692816792623148,-178.46526854882822,4.0,4.0,-1.0,51.95127182021042,-19866662.81914038,-2118803.2384502403,0
5487,-0.6820206775914812,-18.692829660223953,-178.4652699355022,4.0,4.0,-1.0,51.951242464734605,-19866662.97350422,-2118804.7506319447,0
5489,-0.5541567066547941,-18.692842528417863,-178.46527130476898,4.0,4.0,-1.0,51.95121310276954,-19866663.1259303,-2118806.2628834634,0
5497,-0.5892374351205945,-18.692868262336926,-178.46527401795797,4.0,4.0,-1.0,51.95115436906053,-19866663.42796112,-2118809.287096725,0
5501,-1.32712155781428,-18.692919724358628,-178.465279385857,4.0,1.0,-1.0,51.951036853290134,-19866664.025512904,-2118815.3348410847,0
5505,-0.5271408238165805,-18.692984043297443,-178.46528624180746,4.0,4.0,-1.0,51.950889862663644,-19866664.78871382,-2118822.8935148353,1
5513,-0.6148855763067331,-18.69302905524982,-178.4652909828699,4.0,4.0,-1.0,51.95078691871822,-19866665.316486474,-2118828.1832596418,1
5520,-2.1098485508234717,-18.693048341883664,-178.4652928885334,4.0,1.0,-1.0,51.95074279025812,-19866665.52862397,-2118830.4497996434,-1
5524,-0.5054584047591106,-18.69304834288376,-178.46529302670447,4.0,4.0,-1.0,51.95074278796983,-19866665.5440051,-2118830.449917175,1
5528,-0.5187429530710688,-18.693061200864545,-178.46529438165823,4.0,4.0,-1.0,51.95071336207002,-19866665.69483786,-2118831.9609704125,1
5531,-0.623723286004406,-18.693074057129575,-178.46529572842468,4.0,4.0,-1.0,51.950683934968765,-19866665.84475922,-2118833.4718221347,1
5534,-0.5370436892599173,-18.69308691249963,-178.46529709147188,4.0,4.0,-1.0,51.95065450478796,-19866665.996492937,-2118834.9825687935,1
5537,-0.6257533806156061,-18.69309976665284,-178.4652984391732,4.0,4.0,-1.0,51.95062507226612,-19866666.14651836,-2118836.4931725664,1
5540,-0.5536278069153013,-18.693112617952565,-178.46529980028433,4.0,4.0,-1.0,51.950595641153996,-19866666.29803656,-2118838.0034411135,1
5545,-0.7405429139746502,-18.693138321369805,-178.4653024936851,4.0,4.0,-1.0,51.950536761683,-19866666.59786456,-2118841.024074661,1
5552,-0.7461725580869825,-18.69317044329098,-178.46530587846277,4.0,4.0,-1.0,51.95046315036598,-19866666.974656288,-2118844.7990034325,1
5555,-0.5127339141859011,-18.69318329000796,-178.4653072521686,4.0,4.0,-1.0,51.95043370158055,-19866667.127576523,-2118846.3087340537,1
5556,-0.515406109623882,-18.693183290005447,-178.46530725193833,4.0,4.0,-1.0,51.9504337015851,-19866667.12755089,-2118846.3087337585,1
5561,-0.5566007161853577,-18.69320897967626,-178.46530995474217,4.0,4.0,-1.0,51.95037479728035,-19866667.428425636,-2118849.3277531005,1
5566,-0.5127685770205517,-18.69323466315203,-178.4653126635257,4.0,4.0,-1.0,51.950315886710996,-19866667.72996604,-2118852.3460448715,1
5576,-0.6030921706153549,-18.69329884648567,-178.46531941238058,4.0,4.0,-1.0,51.95016857896826,-19866668.481245127,-2118859.888796509,1
5581,-0.635817733806789,-18.69331809373086,-178.4653214347783,4.0,4.0,-1.0,51.9501243795321,-19866668.706377413,-2118862.1507112104,1
5584,-0.510824471523847,-18.693350162412234,-178.465324818788,4.0,4.0,-1.0,51.950050711380754,-19866669.08308365,-2118865.9193873066,1
5585,-0.5153370888783684,-18.693362988071332,-178.46532616713353,4.0,4.0,-1.0,51.9500212393541,-19866669.233180784,-2118867.4266448305,1
5588,-0.5872897388596812,-18.69337581170242,-178.46532750924183,4.0,4.0,-1.0,51.94999176688452,-19866669.3825836,-2118868.933664138,1
5591,-0.5240758286568052,-18.693382222717727,-178.46532818866353,4.0,4.0,-1.0,51.94997703057561,-19866669.458216477,-2118869.6870797914,1
5594,-0.5118751308566516,-18.69340786260405,-178.46533088463204,4.0,4.0,-1.0,51.94991808219038,-19866669.75833032,-2118872.7002520617,1
5595,-0.7514783905514832,-18.693427088462276,-178.4653328841646,4.0,4.0,-1.0,51.94987386684534,-19866669.980917268,-2118874.959654846,1
5597,-0.580234722672003,-18.69342708862274,-178.46533289891735,4.0,4.0,-1.0,51.94987386647608,-19866669.982559532,-2118874.959673703,1
5601,-0.6624988863118233,-18.693446309488134,-178.46533491093047,4.0,4.0,-1.0,51.94982965115014,-19866670.20653581,-2118877.2184899915,1
5602,-0.7109932253802072,-18.693446309442702,-178.4653349067526,4.0,4.0,-1.0,51.94982965125564,-19866670.20607073,-2118877.218484651,1
5603,-0.5521904541651566,-18.693465526588,-178.46533693857285,4.0,4.0,-1.0,51.9497854330275,-19866670.432251927,-2118879.476864014,1
5608,-0.5440670936222887,-18.693497545865778,-178.46534030064595,4.0,4.0,-1.0,51.94971173192607,-19866670.80651619,-2118883.2397375302,1
5610,-0.731845001697593,-18.69350394810809,-178.46534095640322,4.0,4.0,-1.0,51.94969699160265,-19866670.879514758,-2118883.992122731,1
5611,-0.5368033448883125,-18.693503948290722,-178.46534097320597,4.0,4.0,-1.0,51.94969699118246,-19866670.881385233,-2118883.992144193,1
5612,-0.5851721877838827,-18.693510349942223,-178.46534164083388,4.0,4.0,-1.0,51.94968225094817,-19866670.955705233,-2118884.7444599937,1
5614,-0.8398633117162717,-18.693510349959997,-178.4653416189177,4.0,4.0,-1.0,51.949682250908154,-19866670.953265533,-2118884.7444620817,1
5616,-0.6376322929750131,-18.6935167513438,-178.4653423080192,4.0,4.0,-1.0,51.949667510018116,-19866671.02997596,-2118885.496746449,1
5617,-0.5462340536912507,-18.693516751429375,-178.46534231589305,4.0,4.0,-1.0,51.949667509820756,-19866671.030852474,-2118885.496756504,1
