,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev,x,y,labels
4487,-0.7706887848453334,-18.626101667827907,-178.4919585546784,4.0,4.0,-1.0,51.901642816235835,50.87405776977539,-19869633.93700089,-2110964.516672178,1
4493,-0.6146099990082803,-18.626108081967004,-178.4919592529975,4.0,4.0,-1.0,51.90168291005466,51.08220291137695,-19869634.014737416,-2110965.2701561153,1
4504,-0.6035951940111772,-18.62612092835162,-178.49196064745027,4.0,4.0,-1.0,51.90176319650709,51.09696960449219,-19869634.16996719,-2110966.779251074,1
4508,-0.7302770970381971,-18.62612735945616,-178.49196134369805,4.0,4.0,-1.0,51.90180338198843,50.9281005859375,-19869634.247473136,-2110967.5347280647,1
4509,-0.8806896999876699,-18.626127368726177,-178.49196134269562,4.0,3.0,-1.0,51.90180343990869,50.7275505065918,-19869634.24736155,-2110967.5358170336,1
4515,-0.7378675013605971,-18.626140205549092,-178.49196273756348,4.0,4.0,-1.0,51.90188363788184,50.918060302734375,-19869634.40263753,-2110969.0437889295,1
4523,-0.7816240919109987,-18.626153053669352,-178.49196413092378,4.0,3.0,-1.0,51.901963887277816,50.859798431396484,-19869634.557745688,-2110970.553088064,1
4528,-0.8978031569386076,-18.626159483754638,-178.4919648268986,4.0,3.0,-1.0,51.90200404242205,50.704933166503906,-19869634.635221247,-2110971.308445463,1
4530,-0.9011105645040516,-18.62617232782326,-178.49196621994065,4.0,3.0,-1.0,51.90208423777949,50.70060348510742,-19869634.79029398,-2110972.8172688135,1
4531,-0.6757305556175197,-18.62617231393262,-178.4919662214426,4.0,4.0,-1.0,51.90208415106099,51.0011100769043,-19869634.790461175,-2110972.8156370455,1
4533,-0.6416600804541304,-18.62617873372147,-178.4919669180804,4.0,4.0,-1.0,51.90212422755212,51.04657745361328,-19869634.868010543,-2110973.569784984,1
4534,-0.7442249217565404,-18.626178740042786,-178.49196691739692,4.0,4.0,-1.0,51.90212426701328,50.90982437133789,-19869634.867934458,-2110973.5705275647,1
4535,-0.6304334231626854,-18.626178733029583,-178.4919669181552,4.0,4.0,-1.0,51.90212422323384,51.061546325683594,-19869634.868018873,-2110973.5697037075,1
