,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
2344,-5.907179308772356,-18.66155042161282,-178.52351342329905,4.0,1.0,-1.0,52.07772375853892,-19873146.60890779,-2115129.1991919493,4
2348,-5.931155751229653,-18.661607896721375,-178.52351949106406,4.0,1.0,-1.0,52.077553524019095,-19873147.284368303,-2115135.9523380282,4
2349,-6.425374713047404,-18.661614278821144,-178.5235202112238,4.0,1.0,-1.0,52.077534631231174,-19873147.364536118,-2115136.702214997,4
2351,-5.890603984175414,-18.661627060568833,-178.5235215093803,4.0,1.0,-1.0,52.07749679986409,-19873147.509046238,-2115138.2040308705,4
2352,-6.1881363267602865,-18.661639834152158,-178.5235228852811,4.0,1.0,-1.0,52.07745900086593,-19873147.662210815,-2115139.70488757,4
2354,-6.1201815637687105,-18.661652613610197,-178.5235242271945,4.0,1.0,-1.0,52.07742119269096,-19873147.81159193,-2115141.2064346448,4
2358,-6.07174864698527,-18.661716520878226,-178.52353096437332,4.0,1.0,-1.0,52.07723224545953,-19873148.561571244,-2115148.715344074,4
2361,-6.453326712272883,-18.66174208643586,-178.523533696943,4.0,1.0,-1.0,52.07715671621736,-19873148.86575951,-2115151.7192200557,4
2364,-6.282069023319309,-18.66175487474108,-178.52353502948546,4.0,1.0,-1.0,52.07711894759632,-19873149.01409746,-2115153.221807553,4
2369,-6.576437712669758,-18.661793234756164,-178.52353910253996,4.0,1.0,-1.0,52.07700570551606,-19873149.46750781,-2115157.728994918,4
2371,-6.583098476545274,-18.66180602576025,-178.5235404518874,4.0,1.0,-1.0,52.076967961809714,-19873149.617716484,-2115159.2318999763,4
2372,-6.593950336859052,-18.661806025639454,-178.5235404529004,4.0,1.0,-1.0,52.076967962166236,-19873149.61782925,-2115159.2318857824,4
2373,-6.254979343690593,-18.66181242507555,-178.52354109560721,4.0,1.0,-1.0,52.07694908178928,-19873149.689375043,-2115159.9838005933,4
2378,-6.512598563169831,-18.661863595776087,-178.52354651460112,4.0,1.0,-1.0,52.0767981859517,-19873150.292614684,-2115165.9962075567,4
