Filename, min_x, max_x, min_y, max_y, min_z, max_z
./20131106_ncmp_hi_molokai_4QGJ0035.laz, -157.0725004, -157.0648792, 21.1050711, 21.1057650, 1.04, 21.16
./20131106_ncmp_hi_molokai_4QGJ0034.laz, -157.0746120, -157.0648889, 21.0960696, 21.1051572, -0.20, 35.99
./20131106_ncmp_hi_molokai_4QGJ0033.laz, -157.0747439, -157.0650185, 21.0870115, 21.0961456, -11.87, 0.43
./20131106_ncmp_hi_molokai_4QGJ0032.laz, -157.0747749, -157.0651242, 21.0847319, 21.0871185, -13.74, 0.12
./20131106_ncmp_hi_molokai_4QFJ9935.laz, -157.0841340, -157.0746587, 21.1051840, 21.1068094, 1.01, 23.58
./20131106_ncmp_hi_molokai_4QFJ9934.laz, -157.0842486, -157.0745137, 21.0961537, 21.1052884, -0.44, 28.66
./20131106_ncmp_hi_molokai_4QFJ9933.laz, -157.0843655, -157.0746353, 21.0871199, 21.0962540, -12.11, 0.44
./20131106_ncmp_hi_molokai_4QFJ9932.laz, -157.0844078, -157.0747449, 21.0840024, 21.0872276, -12.50, 0.31
./20131106_ncmp_hi_molokai_4QFJ9835.laz, -157.0937574, -157.0841212, 21.1052899, 21.1063577, 0.73, 10.76
./20131106_ncmp_hi_molokai_4QFJ9834.laz, -157.0938396, -157.0841365, 21.0962603, 21.1053976, -0.46, 21.22
./20131106_ncmp_hi_molokai_4QFJ9833.laz, -157.0939878, -157.0842552, 21.0872289, 21.0963451, -6.60, 0.38
./20131106_ncmp_hi_molokai_4QFJ9832.laz, -157.0940413, -157.0843675, 21.0831880, 21.0873365, -9.84, 0.37
./20131106_ncmp_hi_molokai_4QFJ9735.laz, -157.0965719, -157.0937546, 21.1053992, 21.1056954, 1.09, 4.77
./20131106_ncmp_hi_molokai_4QFJ9734.laz, -157.1034955, -157.0937585, 21.0964090, 21.1054290, -2.58, 17.34
./20131106_ncmp_hi_molokai_4QFJ9733.laz, -157.1036105, -157.0938917, 21.0873373, 21.0964744, -7.39, 0.44
./20131106_ncmp_hi_molokai_4QFJ9732.laz, -157.1036685, -157.0939897, 21.0827838, 21.0874440, -20.07, 0.33
./20131106_ncmp_hi_molokai_4QFJ9634.laz, -157.1131187, -157.1033884, 21.0964762, 21.1049740, -2.43, 21.34
./20131106_ncmp_hi_molokai_4QFJ9633.laz, -157.1132329, -157.1034978, 21.0874455, 21.0965819, -13.84, 0.44
./20131106_ncmp_hi_molokai_4QFJ9632.laz, -157.1132991, -157.1036125, 21.0822641, 21.0875518, -29.99, -3.07
./20131106_ncmp_hi_molokai_4QFJ9534.laz, -157.1227337, -157.1130207, 21.0965829, 21.1043940, -1.74, 39.39
./20131106_ncmp_hi_molokai_4QFJ9533.laz, -157.1228553, -157.1131196, 21.0875525, 21.0966890, -11.79, 4.96
./20131106_ncmp_hi_molokai_4QFJ9532.laz, -157.1229320, -157.1132334, 21.0815533, 21.0876584, -32.80, -0.96
./20131106_ncmp_hi_molokai_4QFJ9434.laz, -157.1323648, -157.1226571, 21.0967070, 21.1034604, 0.15, 71.69
./20131106_ncmp_hi_molokai_4QFJ9433.laz, -157.1324774, -157.1227425, 21.0876592, 21.0967950, -6.47, 16.24
./20131106_ncmp_hi_molokai_4QFJ9432.laz, -157.1325624, -157.1228559, 21.0809782, 21.0877635, -31.84, 0.37
./20131106_ncmp_hi_molokai_4QFJ9334.laz, -157.1419877, -157.1323115, 21.0967959, 21.1011067, 2.18, 85.89
./20131106_ncmp_hi_molokai_4QFJ9333.laz, -157.1420999, -157.1323655, 21.0877661, 21.0969009, -2.32, 40.25
./20131106_ncmp_hi_molokai_4QFJ9332.laz, -157.1421939, -157.1324793, 21.0802067, 21.0878702, -30.56, 0.32
./20131106_ncmp_hi_molokai_4QFJ9234.laz, -157.1516113, -157.1419658, 21.0969016, 21.0987094, 14.73, 75.98
./20131106_ncmp_hi_molokai_4QFJ9233.laz, -157.1517214, -157.1419886, 21.0878713, 21.0970055, -2.15, 53.75
./20131106_ncmp_hi_molokai_4QFJ9232.laz, -157.1518257, -157.1421011, 21.0796047, 21.0879743, -32.22, 0.27
./20131106_ncmp_hi_molokai_4QFJ9134.laz, -157.1612340, -157.1515983, 21.0970070, 21.0981097, 16.49, 70.71
./20131106_ncmp_hi_molokai_4QFJ9133.laz, -157.1613454, -157.1516125, 21.0879770, 21.0971105, -1.59, 61.59
./20131106_ncmp_hi_molokai_4QFJ9132.laz, -157.1614562, -157.1517262, 21.0790370, 21.0880797, -33.96, 0.36
./20131106_ncmp_hi_molokai_4QFJ9131.laz, -157.1614578, -157.1603131, 21.0788871, 21.0790486, -32.93, -30.51
./20131106_ncmp_hi_molokai_4QFJ9034.laz, -157.1668116, -157.1612286, 21.0971118, 21.0976419, 16.07, 47.06
./20131106_ncmp_hi_molokai_4QFJ9033.laz, -157.1709685, -157.1612357, 21.0880810, 21.0971711, -2.16, 63.01
./20131106_ncmp_hi_molokai_4QFJ9032.laz, -157.1710756, -157.1613465, 21.0790506, 21.0881838, -35.81, 0.50
