,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface
140,0.1516297232558831,9.418447173864498,138.0344431865417,4.0,4.0,-1.0,POINT (138.0344431865417 9.418447173864498),63.57807136364863
141,-8.566932325353072,9.41844774859878,138.03444292059626,2.0,1.0,-1.0,POINT (138.0344429205963 9.41844774859878),63.57806824732688
144,-3.4991788490863804,9.418453874071842,138.0344424050101,2.0,1.0,-1.0,POINT (138.0344424050101 9.418453874071842),63.578035103564616
145,-7.1147967744416665,9.418454112679594,138.034442294696,2.0,1.0,-1.0,POINT (138.034442294696 9.418454112679594),63.57803381510894
147,-0.07010266433442894,9.418460108353091,138.03444183962523,4.0,4.0,-1.0,POINT (138.0344418396252 9.418460108353091),63.5780015020282
148,0.27141120101358873,9.418460085960758,138.034441850031,4.0,4.0,-1.0,POINT (138.034441850031 9.418460085960758),63.57800162251806
149,0.3480744573650062,9.418473000767767,138.03444051328873,4.0,2.0,-1.0,POINT (138.0344405132887 9.418473000767767),63.57793243366177
150,0.15271717344798635,9.41847301357677,138.03444050733637,4.0,4.0,-1.0,POINT (138.0344405073364 9.41847301357677),63.57793236532598
151,-2.83425700709575,9.418473210453646,138.03444041622566,2.0,1.0,-1.0,POINT (138.0344404162257 9.418473210453646),63.57793131499784
152,0.29677926658429127,9.41848592379809,138.03443917376003,4.0,4.0,-1.0,POINT (138.03443917376 9.418485923798089),63.57786376832519
153,0.1212805163139734,9.418485935305242,138.03443916841266,4.0,4.0,-1.0,POINT (138.0344391684127 9.418485935305242),63.577863707439974
156,0.055276488095550726,9.418492398486599,138.03443849793817,4.0,4.0,-1.0,POINT (138.0344384979382 9.418492398486599),63.57782957915333
157,0.20392026162283783,9.418492388740244,138.03443850246728,4.0,4.0,-1.0,POINT (138.0344385024673 9.418492388740244),63.57782963049249
158,0.21151273903015816,9.418492388242264,138.03443850269872,4.0,4.0,-1.0,POINT (138.0344385026987 9.418492388242264),63.57782963311183
159,0.16130657699997009,9.418492391534317,138.03443850116892,4.0,4.0,-1.0,POINT (138.0344385011689 9.418492391534317),63.57782961576595
163,0.052716241449289485,9.418505316776931,138.0344371617414,4.0,4.0,-1.0,POINT (138.0344371617414 9.418505316776931),63.577761790773366
164,0.1807940383037206,9.418505308378982,138.03443716564394,4.0,4.0,-1.0,POINT (138.0344371656439 9.418505308378982),63.57776183463284
166,0.15334533547198162,9.418511768954284,138.03443649720901,4.0,4.0,-1.0,POINT (138.034436497209 9.418511768954284),63.577728145581204
167,0.10627473503085073,9.418518230136531,138.03443582853768,4.0,4.0,-1.0,POINT (138.0344358285377 9.418518230136531),63.57769459523843
168,4.143005032776844,9.41851796442467,138.03443595163574,0.0,1.0,-1.0,POINT (138.0344359516357 9.418517964424669),63.57769597216975
169,-6.3579900699450365,9.418518656047793,138.0344356313732,2.0,1.0,-1.0,POINT (138.0344356313732 9.418518656047793),63.57769238864421
173,0.07114900031185083,9.41853114897445,138.03443449384287,4.0,4.0,-1.0,POINT (138.0344344938429 9.41853114897445),63.5776279384736
174,0.1383978514158269,9.418531144565062,138.0344344958919,4.0,4.0,-1.0,POINT (138.0344344958919 9.418531144565062),63.57762796111638
176,0.3263901550388027,9.418537590665208,138.03443383523938,4.0,4.0,-1.0,POINT (138.0344338352394 9.418537590665208),63.57759491354227
177,0.14964363003584033,9.418537602254444,138.0344338298539,4.0,4.0,-1.0,POINT (138.0344338298539 9.418537602254444),63.57759485425777
179,0.1166758056125819,9.41855051963466,138.0344324971661,4.0,4.0,-1.0,POINT (138.0344324971661 9.41855051963466),63.57752905564848
180,0.2613590145166383,9.418550510147929,138.0344325015746,4.0,4.0,-1.0,POINT (138.0344325015746 9.418550510147929),63.577529103757115
181,-6.134172457314639,9.418550931557593,138.03443230650257,2.0,1.0,-1.0,POINT (138.0344323065026 9.418550931557593),63.577526966750156
182,-5.903075379664343,9.418550916404497,138.03443231354422,2.0,1.0,-1.0,POINT (138.0344323135442 9.418550916404497),63.57752704358427
183,0.09392780182758136,9.418556977906425,138.0344318311767,4.0,4.0,-1.0,POINT (138.0344318311767 9.418556977906425),63.57749637120287
184,-7.366575369054434,9.41855746966144,138.03443160360456,2.0,1.0,-1.0,POINT (138.0344316036046 9.41855746966144),63.577493888296885
187,0.15750722289214716,9.41856343075889,138.0344311681029,4.0,4.0,-1.0,POINT (138.0344311681029 9.418563430758891),63.5774638557632
191,0.14385235778553024,9.418582801221884,138.03442917469314,4.0,4.0,-1.0,POINT (138.0344291746931 9.418582801221884),63.577367099700496
193,0.2702545159464347,9.418589248514097,138.03442851494864,4.0,4.0,-1.0,POINT (138.0344285149486 9.418589248514097),63.5773351782409
194,0.011581090591512303,9.41858926547575,138.03442850706662,4.0,4.0,-1.0,POINT (138.0344285070666 9.418589265475751),63.57733509442187
195,0.2295217914093789,9.41859570499752,138.03442785061353,4.0,4.0,-1.0,POINT (138.0344278506135 9.41859570499752),63.57730335285305
197,-5.824489442956665,9.418602559484334,138.03442700300613,2.0,1.0,-1.0,POINT (138.0344270030061 9.418602559484334),63.57726972072851
200,0.2617600193549234,9.41861506794638,138.0344258638979,4.0,4.0,-1.0,POINT (138.0344258638979 9.41861506794638),63.57720875853556
201,0.12683896368086237,9.418615076793435,138.03442585978672,4.0,4.0,-1.0,POINT (138.0344258597867 9.418615076793435),63.57720871560741
202,-6.668322603965145,9.41861552441829,138.03442565253405,2.0,1.0,-1.0,POINT (138.0344256525341 9.418615524418289),63.57720654390869
204,0.11003355171925727,9.418621532502806,138.03442519741083,4.0,4.0,-1.0,POINT (138.0344251974108 9.418621532502806),63.577177460858366
207,0.2837755951295453,9.41863442943221,138.03442388007107,4.0,4.0,-1.0,POINT (138.0344238800711 9.41863442943221),63.577115445776144
208,-6.545217702523826,9.41864133346441,138.03442301097232,2.0,1.0,-1.0,POINT (138.0344230109723 9.418641333464411),63.577082480012905
209,-5.1631806778275635,9.41864124232722,138.03442305313408,2.0,1.0,-1.0,POINT (138.0344230531341 9.418641242327221),63.57708291412564
211,-7.51922718369835,9.418654303833437,138.03442166088035,2.0,1.0,-1.0,POINT (138.0344216608804 9.418654303833437),63.57702098650043
212,0.2851684570332403,9.418660242261954,138.03442123929463,4.0,4.0,-1.0,POINT (138.0344212392946 9.418660242261954),63.57699302281253
213,-5.558134324986046,9.418660627477948,138.03442106104418,2.0,1.0,-1.0,POINT (138.0344210610442 9.418660627477948),63.57699121301994
214,-5.783510589059819,9.418660642256626,138.03442105417668,2.0,1.0,-1.0,POINT (138.0344210541767 9.418660642256626),63.5769911435782
215,0.29031532513073244,9.418666694348278,138.03442058018814,4.0,4.0,-1.0,POINT (138.0344205801881 9.418666694348278),63.57696277622017
217,-5.174628068322127,9.41866705424186,138.0344204135159,2.0,1.0,-1.0,POINT (138.0344204135159 9.41866705424186),63.57696109326207
218,0.22593215055289523,9.418673150660975,138.03441991934432,4.0,4.0,-1.0,POINT (138.0344199193443 9.418673150660975),63.57693265151465
219,0.17662241669847809,9.41867960516661,138.03441925939254,4.0,4.0,-1.0,POINT (138.0344192593925 9.418679605166609),63.576902676868485
223,-7.494493298082906,9.418686562165922,138.03441836728317,2.0,1.0,-1.0,POINT (138.0344183672832 9.418686562165922),63.57687052723486
224,0.3906812559525371,9.418692493601425,138.03441795007848,4.0,2.0,-1.0,POINT (138.0344179500785 9.418692493601425),63.5768432468758
225,0.32390867369162457,9.418692497980242,138.03441794804368,4.0,4.0,-1.0,POINT (138.0344179480437 9.418692497980242),63.57684322679415
227,0.16166957635540696,9.418698959807672,138.0344172857172,4.0,4.0,-1.0,POINT (138.0344172857172 9.418698959807672),63.576813643216155
228,0.32637008037913723,9.418698949007533,138.0344172907359,4.0,4.0,-1.0,POINT (138.0344172907359 9.418698949007533),63.576813692518044
232,5.789365823982365,9.418705039588017,138.03441680040802,0.0,1.0,-1.0,POINT (138.034416800408 9.418705039588017),63.57678593834862
234,0.25783549483099927,9.418711853839103,138.0344159751591,4.0,4.0,-1.0,POINT (138.0344159751591 9.418711853839103),63.57675503590144
235,0.2896732102669315,9.41871185175135,138.03441597612925,4.0,4.0,-1.0,POINT (138.0344159761293 9.41871185175135),63.57675504536019
236,0.41438647984779575,9.418711843573279,138.03441597992952,4.0,2.0,-1.0,POINT (138.0344159799295 9.418711843573279),63.576755082351156
237,0.38139847339136485,9.41871184573646,138.0344159789243,4.0,2.0,-1.0,POINT (138.0344159789243 9.41871184573646),63.57675507257227
238,-7.5832637864935855,9.418712370579758,138.03441573598144,2.0,1.0,-1.0,POINT (138.0344157359814 9.418712370579758),63.57675269895117
239,5.573582649737543,9.418717952862032,138.03441548118468,0.0,1.0,-1.0,POINT (138.0344154811847 9.418717952862032),63.57672751089558
241,-5.775810651766458,9.418725149931097,138.03441447925297,2.0,1.0,-1.0,POINT (138.034414479253 9.418725149931097),63.576695193041814
242,-7.823662868645253,9.418725284731515,138.0344144168021,2.0,1.0,-1.0,POINT (138.0344144168021 9.418725284731515),63.57669458939927
244,0.22106176294608226,9.418731203505018,138.0344140068335,4.0,4.0,-1.0,POINT (138.0344140068335 9.418731203505018),63.5766681462992
245,0.2458111234999474,9.41873120188206,138.03441400758769,4.0,4.0,-1.0,POINT (138.0344140075877 9.418731201882061),63.57666815351695
247,0.2886797030749263,9.418737647557911,138.03441335394464,4.0,4.0,-1.0,POINT (138.0344133539446 9.418737647557911),63.57663949180278
248,0.22724914976960592,9.418737651586103,138.03441335207285,4.0,4.0,-1.0,POINT (138.0344133520728 9.418737651586103),63.57663947393303
250,0.2287934899585817,9.418744099584812,138.03441269757477,4.0,4.0,-1.0,POINT (138.0344126975748 9.418744099584812),63.57661094330251
251,-4.186148740378303,9.418744390634243,138.0344125628957,2.0,1.0,-1.0,POINT (138.0344125628957 9.418744390634243),63.576609658804955
252,-4.371209117978823,9.418744402769542,138.03441255725664,2.0,1.0,-1.0,POINT (138.0344125572566 9.418744402769542),63.57660960525391
254,-0.010811177603738537,9.41875056252496,138.03441203618306,4.0,4.0,-1.0,POINT (138.0344120361831 9.418750562524959),63.57658248837106
256,0.18378018284733977,9.418750549764722,138.03441204211256,4.0,4.0,-1.0,POINT (138.0344120421126 9.418750549764722),63.57658254442504
257,-4.0177593950847985,9.418750826820705,138.03441191393622,2.0,1.0,-1.0,POINT (138.0344119139362 9.418750826820705),63.57658132776851
258,-4.149845111721458,9.418750835482228,138.03441190991134,2.0,1.0,-1.0,POINT (138.0344119099113 9.418750835482228),63.5765812897298
259,-3.602755009985984,9.418750799093436,138.03441192663158,2.0,1.0,-1.0,POINT (138.0344119266316 9.418750799093436),63.57658144950983
