,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface
27,-0.18256448603324316,-18.634708364342977,-178.5207070827196,4.0,4.0,-1.0,52.17537274488677
28,-6.745628336858772,-18.634708293447108,-178.52070769538673,4.0,1.0,-1.0,52.17537305062615
29,0.042571520156798215,-18.63472759491183,-178.5207090256732,4.0,4.0,-1.0,52.1752898224895
30,-0.021039074472355423,-18.63474041235063,-178.5207103406137,4.0,4.0,-1.0,52.17523456389608
31,-0.09139024589012479,-18.63475322962562,-178.5207116560095,4.0,4.0,-1.0,52.175179314263005
32,-0.06402959197566815,-18.63475963898155,-178.5207123078185,4.0,4.0,-1.0,52.175151689447375
33,-0.5165562383781435,-18.634772450025864,-178.5207136584728,4.0,1.0,-1.0,52.17509647905172
34,-0.25961361237523306,-18.634798087469836,-178.52071625131734,4.0,4.0,-1.0,52.174986016858384
35,-0.09045140667694795,-18.634810907148793,-178.52071754390596,4.0,4.0,-1.0,52.174930794026295
36,-7.002812681610976,-18.63483005766793,-178.5207201515452,4.0,1.0,-1.0,52.174848315471536
37,-0.12380844934841662,-18.634862172449317,-178.52072277996402,4.0,4.0,-1.0,52.17471004306026
38,0.01398194258536023,-18.634868581975038,-178.52072342125467,4.0,4.0,-1.0,52.174682452610796
39,-0.12118070898941369,-18.634874988863757,-178.52072408807948,4.0,4.0,-1.0,52.17465487557638
40,-0.03762631547942874,-18.634971096480438,-178.52073389619835,4.0,4.0,-1.0,52.17424144920369
41,-0.05621526927643572,-18.63517602974346,-178.5207548919042,4.0,4.0,-1.0,52.17336143772991
42,-0.03819892238425382,-18.635316824666596,-178.52076939624678,4.0,4.0,-1.0,52.17275806838734
43,-0.062294753374317224,-18.635348810518238,-178.5207727059742,4.0,4.0,-1.0,52.1726211335681
45,0.06596556208978654,-18.637049515057896,-178.52095225651615,4.0,4.0,-1.0,52.165414294899165
46,-0.027836980988922733,-18.637189345127283,-178.52096643006925,4.0,4.0,-1.0,52.164828224407756
47,-0.6474896353411168,-18.637272005080618,-178.52097484756223,4.0,1.0,-1.0,52.16448223351472
48,0.09482140832278674,-18.63738653015449,-178.52098635402228,4.0,4.0,-1.0,52.16400343188798
49,0.010458260656378116,-18.637743341016783,-178.5210225420694,4.0,4.0,-1.0,52.162515918571444
50,-0.0034693233415055147,-18.63774972047412,-178.52102319337192,4.0,4.0,-1.0,52.1624893813987
51,-0.04673968237648296,-18.637762481060903,-178.52102449804474,4.0,4.0,-1.0,52.162436306238305
52,-0.010514433178286708,-18.637813532967886,-178.52102970406605,4.0,4.0,-1.0,52.16222404770451
53,-0.11705360114592622,-18.637832681833878,-178.52103167075455,4.0,4.0,-1.0,52.16214446624144
54,-0.05718981928384892,-18.637845450613888,-178.521032970641,4.0,4.0,-1.0,52.16209141024956
55,-0.029484205969765753,-18.63787099143807,-178.52103558148326,4.0,4.0,-1.0,52.16198530929432
56,-0.11427375675157236,-18.637883762179186,-178.52103689729756,4.0,4.0,-1.0,52.161932269744284
57,0.020725788587697025,-18.637915698669023,-178.52104015816926,4.0,4.0,-1.0,52.161799666730076
58,-0.015414194576351292,-18.638011469239046,-178.52104994201122,4.0,4.0,-1.0,52.16140232657381
59,-0.08319492848750087,-18.63802427312793,-178.52105128476612,4.0,4.0,-1.0,52.1613492397737
60,-0.7315090827978565,-18.638056280635677,-178.52105468992255,4.0,1.0,-1.0,52.16121656799805
61,-0.05782213083966781,-18.638107527599118,-178.52105998959124,4.0,4.0,-1.0,52.16100425550758
62,0.03382489120122045,-18.638113934671953,-178.52106065226354,4.0,4.0,-1.0,52.16097772074863
63,-0.04883864772727975,-18.63811393375203,-178.52106065997734,4.0,4.0,-1.0,52.1609777245576
64,-0.1762143857031333,-18.638120338373096,-178.5210613432577,4.0,4.0,-1.0,52.160951202014985
