,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev
3471,1.950716867511801,21.093943136594632,-157.1595821633684,4.0,4.0,-1.0,16.666507860732963,19.26746368408203
3472,5.3761734082982,21.09394046422257,-157.15958096897012,4.0,4.0,-1.0,16.66653708422382,23.834768295288086
3473,1.7323021683660045,21.093923254924412,-157.15958309159367,4.0,4.0,-1.0,16.666725186034455,18.97646141052246
3475,6.30122653487706,21.09391533205003,-157.15958168306705,4.0,4.0,-1.0,16.66681173320103,25.06844711303711
3487,7.0616548482648795,21.093870387579496,-157.15958329753684,4.0,4.0,-1.0,16.66730207548244,26.082841873168945
3488,1.5538486779223604,21.09386416049268,-157.15958566528846,4.0,4.0,-1.0,16.667369929884444,18.739168167114258
3490,7.220329020747158,21.093857482641905,-157.1595837829165,4.0,4.0,-1.0,16.667442673671758,26.29454803466797
3491,1.7162260215336573,21.093844717454036,-157.15958642571374,4.0,4.0,-1.0,16.66758166407817,18.955883026123047
3493,6.529164316143579,21.093843617598427,-157.159584633176,4.0,4.0,-1.0,16.667593635604135,25.373146057128906
3496,1.5598405987730075,21.093837999157074,-157.15958676943083,4.0,4.0,-1.0,16.66765478045272,18.7474422454834
3504,1.8109128064206743,21.093805580375424,-157.1595880420688,4.0,4.0,-1.0,16.668007269661757,19.082557678222656
3506,1.719856041490857,21.093785857392206,-157.15958890810663,4.0,4.0,-1.0,16.66822145009064,18.961362838745117
3510,2.091926617464196,21.09377973856091,-157.1595890235443,4.0,4.0,-1.0,16.668287855995004,19.457523345947266
3511,1.5372836064707371,21.09377911163634,-157.15958926195623,4.0,4.0,-1.0,16.668294658738887,18.718006134033203
3512,1.8541820064747299,21.09377946983436,-157.1595891257378,4.0,4.0,-1.0,16.668290771965985,19.140533447265625
3513,7.213177352565253,21.093778989844935,-157.15958709732007,4.0,4.0,-1.0,16.66829598027107,26.285865783691406
3514,1.6262819867188227,21.093772673074078,-157.1595894990017,4.0,4.0,-1.0,16.66836451148265,18.836740493774414
3515,1.4941801898094127,21.09377252375615,-157.15958955578535,4.0,4.0,-1.0,16.668366131198127,18.660606384277344
3516,1.6024694737352547,21.093772646157106,-157.15958950923786,4.0,4.0,-1.0,16.668364803452278,18.804990768432617
3518,5.39249662664588,21.09376385399265,-157.1595884300958,4.0,4.0,-1.0,16.66846015576448,23.858455657958984
3526,2.1180062354651454,21.09372746358627,-157.15959121058665,4.0,4.0,-1.0,16.66885438746249,19.492862701416016
3527,1.6122728712653043,21.093726891687094,-157.1595914279957,4.0,4.0,-1.0,16.66886057757074,18.818557739257812
3528,4.657720860239351,21.093723798253368,-157.1595903930221,4.0,4.0,-1.0,16.66889405727852,22.879188537597656
3530,1.519026754427614,21.09371371322896,-157.159592016276,4.0,4.0,-1.0,16.669003171220538,18.694372177124023
3531,1.4622635385967442,21.093713649067542,-157.15959204067505,4.0,4.0,-1.0,16.66900386524503,18.618688583374023
3534,4.660676036201039,21.093704193485564,-157.1595912134387,4.0,4.0,-1.0,16.66910612063657,22.88334083557129
3535,1.8885825470206328,21.09369452350265,-157.15959267870034,4.0,4.0,-1.0,16.66921064653434,19.187320709228516
3539,1.8029827875288902,21.093687891705372,-157.15959298896695,4.0,4.0,-1.0,16.669282303599175,19.073259353637695
3541,1.5536509253506665,21.093681074904943,-157.1595933694797,4.0,4.0,-1.0,16.669355935795465,18.740890502929688
3544,4.4535531774308765,21.093664750222267,-157.15959294214065,4.0,4.0,-1.0,16.66953216987895,22.607603073120117
3546,2.664090117734304,21.09364966015924,-157.15959425674967,4.0,4.0,-1.0,16.669694952273858,20.22181510925293
3547,4.875075970590842,21.09365216006633,-157.15959330634013,4.0,4.0,-1.0,16.669667992988252,23.169769287109375
3549,7.379880212080025,21.093648459006523,-157.15959250213717,4.0,4.0,-1.0,16.669707904482493,26.50954818725586
3550,1.346064980072697,21.09364163702259,-157.15959509578227,4.0,4.0,-1.0,16.66978145275789,18.464534759521484
3553,1.4050786768566468,21.093628638780995,-157.15959561495123,4.0,4.0,-1.0,16.669921520660864,18.543359756469727
3554,3.396683555263735,21.09363089046294,-157.15959475886902,4.0,4.0,-1.0,16.669897263025632,21.198808670043945
3555,6.18724369688789,21.09362751362083,-157.15959383140472,4.0,4.0,-1.0,16.669933641169337,24.919591903686523
3557,1.309994735798682,21.09362199944,-157.1595959278647,4.0,4.0,-1.0,16.669993031711783,18.41665267944336
3560,1.3494792621968372,21.0936024518556,-157.15959672614986,4.0,4.0,-1.0,16.670203441826743,18.46950912475586
3561,1.5847504777557333,21.093602717789967,-157.15959662502672,4.0,4.0,-1.0,16.670200580643723,18.783201217651367
3562,1.210239155774616,21.093602294212474,-157.15959678602263,4.0,4.0,-1.0,16.670205137881567,18.283857345581055
3565,1.4486666093653184,21.093589502963816,-157.15959722629623,4.0,4.0,-1.0,16.670342714205617,18.601898193359375
3566,1.5635463109938428,21.09358963281604,-157.15959717691945,4.0,4.0,-1.0,16.67034131800756,18.755069732666016
3570,1.1173147863555641,21.093576067766875,-157.1595979109571,4.0,4.0,-1.0,16.67048712486576,18.160240173339844
3571,1.1324425829989195,21.093576084867017,-157.15959790445478,4.0,4.0,-1.0,16.670486941133277,18.180410385131836
3572,1.5354914340241521,21.093576540702095,-157.15959773119488,4.0,4.0,-1.0,16.670482043045922,18.717803955078125
3573,5.8448126819275785,21.09356835462662,-157.15959642047733,4.0,4.0,-1.0,16.670569988549687,24.463653564453125
3574,1.2827141168017988,21.093563196652557,-157.15959838143098,4.0,4.0,-1.0,16.67062538434402,18.380910873413086
3575,1.483232520877209,21.093556894528493,-157.15959856582188,4.0,4.0,-1.0,16.67069304935285,18.64833641052246
3576,1.3546173011418432,21.093550220955144,-157.15959889151688,4.0,4.0,-1.0,16.67076468002051,18.47692108154297
3580,7.150029422275111,21.09353719048502,-157.1595972108203,4.0,4.0,-1.0,16.670904475540738,26.20427703857422
3581,1.4163213550018554,21.093530707679914,-157.15959967535684,4.0,4.0,-1.0,16.670973992484505,18.559402465820312
3582,1.4395144483423792,21.093530733896095,-157.15959966538833,4.0,4.0,-1.0,16.670973711414263,18.5903263092041
3583,6.613216964400635,21.093530056626054,-157.15959771138617,4.0,4.0,-1.0,16.670980972718098,25.488603591918945
3584,1.631122210979811,21.09352442365135,-157.15959985284604,4.0,4.0,-1.0,16.67104135703994,18.845870971679688
3586,6.396768591734144,21.093510232349395,-157.15959861300357,4.0,4.0,-1.0,16.671193411704735,25.200218200683594
3590,1.6997407436938374,21.093498396145133,-157.15960090112708,4.0,4.0,-1.0,16.671320152207045,18.937641143798828
3593,0.6694117750012083,21.093490705928904,-157.15960161304164,4.0,4.0,-1.0,16.671402458974626,17.56395149230957
3594,-39.01255373055028,21.093445839176884,-157.15961866952065,0.0,0.0,-1.0,16.671882045193342,-35.34485626220703
3597,4.68405656304094,21.093469147734705,-157.15960096213482,4.0,4.0,-1.0,16.6716330278432,22.917041778564453
3598,1.1718029141156876,21.093465176414835,-157.15960247179365,4.0,4.0,-1.0,16.67167547547433,18.234079360961914
3599,7.2893697938197874,21.093465570040483,-157.15960011060852,4.0,4.0,-1.0,16.671671268559294,26.390830993652344
3600,1.213847296716267,21.093439131421558,-157.15960352596514,4.0,4.0,-1.0,16.67195365524094,18.290416717529297
3604,0.9237805869888689,21.093432281597433,-157.15960391829304,4.0,4.0,-1.0,16.67202675783483,17.90373420715332
3605,5.229988111608691,21.093437150364604,-157.15960206742608,4.0,4.0,-1.0,16.67197479995957,23.645292282104492
3606,7.209693017539394,21.093432867033794,-157.15960148402934,4.0,4.0,-1.0,16.6720205109159,26.284944534301758
3607,6.36519731872977,21.093418869780322,-157.1596023816378,4.0,4.0,-1.0,16.672169820551062,25.159099578857422
